BBOalert
Error *00{Regres}=NYYYYYY----------------   Strong pass system  ----------------- Pass=13+HcP,ANY, 1!D=0-7HcP,ANY 1!C=8-12HcP,All hands w/shortage. Other openings 8-12HcP. Normal preempts.                                ------------------   ASKING/SLAM   --------------------- CAB, TAB, DELTA, RKCB 14/03                              --------------   www.bridgeFILES.net   ----------------|,Rd,Please read chat#----------------   Strong pass system  ----------------- Pass
Option,Opening @1
1C--1D--1S--1N--2C--2D--2S--2N--,3H,min; 1-2-3-7; 1-3-2-7
1C--1D--1S--1N--2C--2D--2S--2N--,3N,MAX; 1-2-3-7; 1-3-2-7
1C--1D--1S--1N--2C--2D--2S--2N--,3S,min; 0-3-3-7
1C--1D--1S--1N--2C--2D--2S--2N--,4C,MAX; 0-3-3-7
1C--1D--1S--1N--2C--2D--,3C,Please read chat#2-suiter; !C + !H.  5-4; min/MAX or 6-4; min
1C--1D--1S--1N--2C--2D--3C--,3D,ASK distrib
1C--1D--1S--1N--2C--2D--3C--3D--,3H,min; 1-4-3-5
1C--1D--1S--1N--2C--2D--3C--3D--,3N,min; 1-4-2-6
1C--1D--1S--1N--2C--2D--3C--3D--,3S,MAX; 1-4-3-5
1C--1D--1S--1N--2C--2D--3C--3D--,4C,min; 0-4-3-6
1C--1D--1S--1N--2C--2D--,3D,MAXIMUM; 1-2-4-6
1C--1D--1S--1N--2C--2D--,3H,MAXIMUM; 1-4-2-6
1C--1D--1S--1N--2C--2D--,3N,MAXIMUM; 0-4-3-6
1C--1D--1S--1N--2C--2D--,3S,MAXIMUM; 0-3-4-6
1C--1D--1S--1N--,2D,5+!D
1C--1D--1S--1N--2D--,2H,ASK distrib
1C--1D--1S--1N--2D--2H--,2N,Please read chat#2-suiter; !D + !C. 5-4; min/MAX  or 6-4;min
1C--1D--1S--1N--2D--2H--2N--,3C,ASK distrib
1C--1D--1S--1N--2D--2H--2N--3C--,3D,min; 1-3-5-4
1C--1D--1S--1N--2D--2H--2N--3C--,3H,MAX; 1-3-5-4
1C--1D--1S--1N--2D--2H--2N--3C--,3N,min; 0-3-6-4
1C--1D--1S--1N--2D--2H--2N--3C--,3S,min; 1-2-6-4
1C--1D--1S--1N--2D--2H--,2S,6+!D; 1-suiter
1C--1D--1S--1N--2D--2H--2S--,2N,ASK distrib
1C--1D--1S--1N--2D--2H--2S--2N--,3C,min; 1-3-6-3
1C--1D--1S--1N--2D--2H--2S--2N--,3D,MAX; 1-3-6-3
1C--1D--1S--1N--2D--2H--2S--2N--,3H,min; 1-3-7-2; 1-2-7-3
1C--1D--1S--1N--2D--2H--2S--2N--,3N,MAX; 1-3-7-2; 1-2-7-3
1C--1D--1S--1N--2D--2H--2S--2N--,3S,min; 0-3-7-3
1C--1D--1S--1N--2D--2H--2S--2N--,4C,MAX; 0-3-7-3
1C--1D--1S--1N--2D--2H--,3C,Please read chat#2-suiter; !D + !H. 5-4; min/MAX  or 6-4;min
1C--1D--1S--1N--2D--2H--3C--,3D,ASK distrib
1C--1D--1S--1N--2D--2H--3C--3D--,3H,min; 1-4-5-3
1C--1D--1S--1N--2D--2H--3C--3D--,3N,min; 1-4-6-2
1C--1D--1S--1N--2D--2H--3C--3D--,3S,MAX; 1-4-5-3
1C--1D--1S--1N--2D--2H--3C--3D--,4C,MAX; 1-4-6-3
1C--1D--1S--1N--2D--2H--,3D,MAXIMUM; 1-2-6-4
1C--1D--1S--1N--2D--2H--,3H,MAXIMUM; 1-4-6-2
1C--1D--1S--1N--2D--2H--,3N,MAXIMUM; 0-4-6-3
1C--1D--1S--1N--2D--2H--,3S,MAXIMUM; 0-3-6-4
1C--1D--1S--1N--,2H,5+!H; 5-4 or 6-4 dist
1C--1D--1S--1N--2H--,2S,ASK distrib
1C--1D--1S--1N--,2N,5!C + 5!D
1C--1D--1S--1N--2N--,3C,ASK distrib
1C--1D--1S--1N--2N--3C--,3D,min; 1-2-5-5
1C--1D--1S--1N--2N--3C--,3H,min; 0-3-5-5
1C--1D--1S--1N--2N--3C--,3N,MAX; 0-3-5-5
1C--1D--1S--1N--2N--3C--,3S,MAX; 1-2-5-5
1C--1D--1S--1N--,2S,6+!H; 1-suiter
1C--1D--1S--1N--2S--,2N,ASK distrib
1C--1D--1S--1N--2S--2N--,3C,min; 1-6-3-3
1C--1D--1S--1N--2S--2N--,3D,MAX; 1-6-3-3
1C--1D--1S--1N--2S--2N--,3H,min; 1-7-3-2; 1-7-2-3
1C--1D--1S--1N--2S--2N--,3N,MAX; 1-7-3-2; 1-7-2-3
1C--1D--1S--1N--2S--2N--,3S,min; 0-7-3-3
1C--1D--1S--1N--2S--2N--,4C,MAX; 0-7-3-3
1C--1D--1S--1N--,3C,5!C + 5!H
1C--1D--1S--1N--3C--,3D,ASK distrib
1C--1D--1S--1N--3C--3D--,3H,min; 1-5-2-5
1C--1D--1S--1N--3C--3D--,3N,MAX; 1-5-2-5
1C--1D--1S--1N--3C--3D--,3S,min; 1-5-3-5
1C--1D--1S--1N--3C--3D--,4C,MAX; 0-5-3-5
1C--1D--1S--1N--,3D,min; 1-5-5-2
1C--1D--1S--1N--,3H,min; 0-5-5-3
1C--1D--1S--1N--,3N,MAX; 0-5-5-3
1C--1D--1S--1N--,3S,MAX; 1-5-5-2
1C--1D--1S--,2C,5+!C
1C--1D--1S--,2D,5+!D
1C--1D--1S--,2H,5+!H
1C--1D--1S--2H--,2S,ASK distrib
1C--1D--1S--2H--2S--,2N,Please read chat#2-suiter; !H + !C. 5-4; min/MAX  or 6-4;min
1C--1D--1S--2H--2S--2N--,3C,ASK distrib
1C--1D--1S--2H--2S--2N--3C--,3D,min; 1-5-3-4
1C--1D--1S--2H--2S--2N--3C--,3H,MAX; 1-5-3-4
1C--1D--1S--2H--2S--2N--3C--,3N,min; 0-6-4-3
1C--1D--1S--2H--2S--2N--3C--,3S,min; 1-6-2-4
1C--1D--1S--2H--2S--,3C,Please read chat#2-suiter; !H + !D. 5-4; min/MAX  or 6-4;min
1C--1D--1S--2H--2S--3C--,3D,ASK distrib
1C--1D--1S--2H--2S--3C--3D--,3H,min; 1-5-4-3
1C--1D--1S--2H--2S--3C--3D--,3N,min; 1-6-4-2
1C--1D--1S--2H--2S--3C--3D--,3S,MAX; 1-5-4-3
1C--1D--1S--2H--2S--3C--3D--,4C,min; 0-6-4-3
1C--1D--1S--2H--2S--,3D,MAXIMUM; 1-6-2-4
1C--1D--1S--2H--2S--,3H,MAXIMUM; 1-6-4-2
1C--1D--1S--2H--2S--,3N,MAXIMUM; 0-6-4-3
1C--1D--1S--2H--2S--,3S,MAXIMUM; 0-6-3-4
1C--1D--1S--,2N,Strong invite
1C--1D--1S--,2S,6+!S
1C--1D--1S--,3C,Weak invite/Preempt
1C--1D--1S--,3D,Weak invite/Preempt
1C--1D--1S--,3H,Weak invite/Preempt
1C--1D--1S--,3N,Signoff
1C--1D--,2C,0-1!D; No 5card MAJOR
1C--1D--2C--,2D,ASK distrib
1C--1D--2C--2D--,2H,Please read chat#2-suiter; !C + !H. 5-4; min/MAX  or 6-4;min
1C--1D--2C--2D--2H--,2S,ASK distrib
1C--1D--2C--2D--2H--2S--,2N,min; 3-4-1-5
1C--1D--2C--2D--2H--2S--,3C,MAX; 3-4-1-5
1C--1D--2C--2D--2H--2S--,3D,min; 2-4-1-6
1C--1D--2C--2D--2H--2S--,3H,min; 3-4-0-6
1C--1D--2C--2D--,2N,7+!C; 1-suiter
1C--1D--2C--2D--2N--,3C,Signoff
1C--1D--2C--2D--2N--,3D,ASK distrib
1C--1D--2C--2D--2N--3D--,3H,min; 2-3-1-7; 3-2-1-7
1C--1D--2C--2D--2N--3D--,3N,MAX; 2-3-1-7; 3-2-1-7
1C--1D--2C--2D--2N--3D--,3S,min; 3-3-0-7
1C--1D--2C--2D--2N--3D--,4C,MAX; 3-3-0-7
1C--1D--2C--2D--2N--,3N,Signoff
1C--1D--2C--2D--2N--,5C,Signoff
1C--1D--2C--2D--,2S,Please read chat#2-suiter; !S + !C. 5-4; min/MAX  or 6-4;min
1C--1D--2C--2D--2S--,2N,ASK distrib
1C--1D--2C--2D--2S--2N--,3C,min; 4-3-1-5
1C--1D--2C--2D--2S--2N--,3D,MAX; 4-3-1-5
1C--1D--2C--2D--2S--2N--,3H,min; 4-2-1-6
1C--1D--2C--2D--2S--2N--,3S,min; 4-3-0-6
1C--1D--2C--2D--,3C,minimum; 3-3-1-6
1C--1D--2C--2D--,3D,3-suiter; 4-4-1-4; 4-4-0-5
1C--1D--2C--2D--3D--,3H,ASK range
1C--1D--2C--2D--3D--3H--,3N,min; 4-4-0-5
1C--1D--2C--2D--3D--3H--,3S,min; 4-4-1-4
1C--1D--2C--2D--3D--3H--,4C,MAX; 4-4-1-4
1C--1D--2C--2D--3D--3H--,4D,MAX; 4-4-0-5
1C--1D--2C--2D--,3H,MAXIMUM; 3-3-1-6
1C--1D--2C--2D--,3N,MAXIMUM; 6!C + 4!S
1C--1D--2C--2D--,3S,MAXIMUM; 6!C + 4!H
1C--1D--2C--,2H,4+!H; Signoff
1C--1D--2C--,2N,Strong invite
1C--1D--2C--,2S,4+!S; Signoff
1C--1D--2C--,3C,Fit in !C; Weak Inv/Preempt
1C--1D--2C--,3D,Weak Inv/Preempt
1C--1D--2C--,3N,Signoff
1C--1D--2C--,5C,Signoff
1C--1D--2C--,5D,Signoff
1C--1D--,2D,0-1!C; No 5card MAJOR
1C--1D--2D--,2H,ASK distrib
1C--1D--2D--2H--,2N,Please read chat#2-suiter; !D + !H. 5-4; min/MAX  or 6-4;min
1C--1D--2D--2H--2N--,3C,ASK distrib
1C--1D--2D--2H--2N--3C--,3D,min; 3-4-5-1
1C--1D--2D--2H--2N--3C--,3H,MAX; 3-4-5-1
1C--1D--2D--2H--2N--3C--,3N,min; 3-4-6-0
1C--1D--2D--2H--2N--3C--,3S,min; 2-4-6-1
1C--1D--2D--2H--,2S,6+!D; 1-suiter
1C--1D--2D--2H--2S--,2N,ASK distrib
1C--1D--2D--2H--2S--2N--,3C,min; 3-3-6-1
1C--1D--2D--2H--2S--2N--,3D,MAX; 3-3-6-1
1C--1D--2D--2H--2S--2N--,3H,min; 2-3-7-1; 3-2-7-1
1C--1D--2D--2H--2S--2N--,3N,MAX; 2-3-7-1; 3-2-7-1
1C--1D--2D--2H--2S--2N--,3S,min; 3-3-7-0
1C--1D--2D--2H--2S--2N--,4C,MAX; 3-3-7-0
1C--1D--2D--2H--,3C,Please read chat#2-suiter; !D + !S. 5-4; min/MAX  or 6-4;min
1C--1D--2D--2H--3C--,3D,ASK distrib
1C--1D--2D--2H--3C--3D--,3H,min; 4-3-5-1
1C--1D--2D--2H--3C--3D--,3N,min; 4-2-6-1
1C--1D--2D--2H--3C--3D--,3S,MAX; 4-3-5-1
1C--1D--2D--2H--3C--3D--,4C,min; 4-3-6-0
1C--1D--2D--2H--,3D,3-suiter; 4-4-4-1; 4-4-5-0
1C--1D--2D--2H--3D--,3H,ASK range
1C--1D--2D--2H--3D--3H--,3N,minimum; 4-4-5-0
1C--1D--2D--2H--3D--3H--,3S,minimum; 4-4-4-1
1C--1D--2D--2H--3D--3H--,4C,MAXIMUM; 4-4-4-1
1C--1D--2D--2H--3D--3H--,4D,MAXIMUM; 4-4-5-0
1C--1D--2D--2H--,3H,3-3-6-1
1C--1D--2D--2H--3H--,3N,Signoff
1C--1D--2D--2H--3H--,3S,ASK range
1C--1D--2D--2H--3H--3S--,3N,minimum
1C--1D--2D--2H--3H--3S--3N--,--,To play
1C--1D--2D--2H--3H--3S--,4C,MAXIMUM
1C--1D--2D--2H--,3N,MAXIMUM; 6!D + 4!S
1C--1D--2D--2H--3N--,4C,ASK distrib
1C--1D--2D--2H--3N--4C--,4D,4-2-6-1
1C--1D--2D--2H--3N--4C--,4H,4-3-6-0
1C--1D--2D--2H--3N--,4H,Signoff
1C--1D--2D--2H--3N--,4S,Signoff
1C--1D--2D--2H--3N--,5D,Signoff
1C--1D--2D--2H--3N--,--,To play
1C--1D--2D--2H--,3S,MAXIMUM; 6!D + 4!H
1C--1D--2D--2H--3S--,3N,Signoff
1C--1D--2D--2H--3S--,4C,ASK distrib
1C--1D--2D--2H--3S--4C--,4D,2-4-6-1
1C--1D--2D--2H--3S--4C--,4H,3-4-6-0
1C--1D--2D--2H--3S--,4H,Signoff
1C--1D--2D--2H--3S--,4S,Signoff
1C--1D--2D--2H--3S--,5D,Signoff
1C--1D--2D--,2N,Invite
1C--1D--2D--,2S,4+!S; Signoff
1C--1D--2D--,3C,6!C; NF
1C--1D--2D--,3D,Fit in !D; Weak Invite/Preempt
1C--1D--2D--,3H,Weak Invite/Preempt
1C--1D--2D--,3N,Signoff
1C--1D--2D--,3S,Weak Invite/Preempt
1C--1D--,2H,5+!H; 0-1!C
1C--1D--2H--,2N,Natural; NF
1C--1D--2H--,2S,No fit relay; 0-2!H
1C--1D--2H--2S--,2N,6+!H; 1-suiter
1C--1D--2H--2S--2N--,3C,ASK distrib
1C--1D--2H--2S--2N--3C--,3D,min; 3-6-3-1
1C--1D--2H--2S--2N--3C--,3H,MAX; 3-6-3-1
1C--1D--2H--2S--2N--3C--,3N,min; 3-7-3-0
1C--1D--2H--2S--2N--3C--,3S,min; 3-7-2-1; 2-7-3-1
1C--1D--2H--2S--2N--3C--,4C,MAX; 3-7-2-1; 2-7-3-1
1C--1D--2H--2S--2N--3C--,4D,MAX; 3-7-3-0
1C--1D--2H--2S--,3C,2-suiter. *5!H + 4!S   *5!H + 4!D
1C--1D--2H--2S--3C--,3D,ASK distrib
1C--1D--2H--2S--3C--3D--,3H,minimum; 5!H + 4!S
1C--1D--2H--2S--3C--3D--,3N,5!H + 4!D
1C--1D--2H--2S--3C--3D--,3S,MAXIMUM; 5!H + 4!S
1C--1D--2H--2S--,3D,3-suiter; 4-5-4-0
1C--1D--2H--2S--3D--,3H,ASK range
1C--1D--2H--2S--3D--3H--,3N,MAXIMUM
1C--1D--2H--2S--3D--3H--,3S,minimum
1C--1D--2H--2S--3D--,4D,END signal
1C--1D--2H--2S--,3H,MAXIMUM; 2-6-4-1
1C--1D--2H--2S--,3N,MAXIMUM; 3-6-4-0
1C--1D--2H--2S--,3S,MAXIMUM; 4-6-2-1
1C--1D--2H--2S--,4C,MAXIMUM; 4-6-3-0
1C--1D--2H--,3C,Fit relay; 3+!H
1C--1D--2H--3C--,3D,6+!H; 1-suiter/2-suiter
1C--1D--2H--3C--3D--,3H,Game try in !S
1C--1D--2H--3C--3D--3H--,3N,MAXIMUM; No help
1C--1D--2H--3C--3D--3H--,3S,minimum; No help
1C--1D--2H--3C--3D--3H--,4C,Void
1C--1D--2H--3C--3D--3H--,4D,MAXIMUM; 6!H + 4!D
1C--1D--2H--3C--3D--3H--,4H,MAXIMUM; 6!H + 4!S
1C--1D--2H--3C--3D--,3N,Signoff
1C--1D--2H--3C--3D--,4C,CUE
1C--1D--2H--3C--3D--,4D,CUE
1C--1D--2H--3C--3D--,4H,Signoff
1C--1D--2H--3C--3D--,4S,Signoff
1C--1D--2H--3C--,3H,minimum; 5!H + 4!D
1C--1D--2H--3C--,3N,minimum; 4-5-4-0
1C--1D--2H--3C--,3S,minimum; 5!H + 4!S
1C--1D--2H--3C--,4C,MAXIMUM; 5!H + 4!D
1C--1D--2H--3C--,4D,MAXIMUM; 5!H + 4!S
1C--1D--2H--3C--,4H,MAXIMUM; 4-5-4-0
1C--1D--2H--3C--4H--,4N,RKCB 14/03
1C--1D--2H--3C--4H--,4S,Signoff
1C--1D--2H--3C--4H--,--,To play
1C--1D--2H--,3N,Signoff
1C--1D--2H--,4H,Signoff
1C--1D--,2N,0-1!C. 2-suiter. ANY 5-5 distribution
1C--1D--2N--,3C,ASK distrib
1C--1D--2N--3C--,3D,minimum; 5!D + 5!S
1C--1D--2N--3C--,3H,minimum; 5!D + 5!H
1C--1D--2N--3C--,3N,MAXIMUM; 5!D + 5!H
1C--1D--2N--3C--,3S,minimum; 5!H + 5!S
1C--1D--2N--3C--,4C,MAXIMUM; 5!H + 5!S
1C--1D--2N--3C--,4D,MAXIMUM; 5!D + 5!S
1C--1D--2N--,3D,Pass w/5cards else correct
1C--1D--2N--,3H,Pass w/5cards else correct
1C--1D--2N--,3N,Signoff; guessing features
1C--1D--2N--,3S,Pass w/5cards else correct
1C--1D--2N--,4C,Trans a MAJOR
1C--1D--2N--,4D,ASK for MAJOR
1C--1D--2N--,4H,Good 6!H
1C--1D--2N--,4S,Good 6!S
1C--1D--,2S,5+!S; 0-1!C
1C--1D--2S--,2N,No fit relay; 0-2!S
1C--1D--2S--2N--,3C,6+!S; 1-suiter
1C--1D--2S--2N--3C--,3D,ASK distrib
1C--1D--2S--2N--3C--3D--,3H,min; 6-3-3-1
1C--1D--2S--2N--3C--3D--,3N,min; 7-3-2-1; 7-2-3-1
1C--1D--2S--2N--3C--3D--,3S,MAX; 6-3-3-1
1C--1D--2S--2N--3C--3D--,4C,min; 7-3-3-0
1C--1D--2S--2N--3C--3D--,4D,MAX; 7-3-2-1; 7-2-3-1
1C--1D--2S--2N--3C--3D--,4H,MAX; 7-3-3-0
1C--1D--2S--2N--,3D,Please read chat#2-suit/3-suit.  *5!S+4!H  *5!S+4!D  *5-4-4-0
1C--1D--2S--2N--3D--,3H,ASK distrib
1C--1D--2S--2N--3D--3H--,3N,5!S + 4!D
1C--1D--2S--2N--3D--3H--,3S,5!S + 4!H
1C--1D--2S--2N--3D--3H--,4C,5-4-4-0
1C--1D--2S--2N--,3H,MAXIMUM; 6-2-4-1
1C--1D--2S--2N--,3N,MAXIMUM; 6-3-4-0
1C--1D--2S--2N--,3S,MAXIMUM; 6-4-2-1
1C--1D--2S--2N--,4C,MAXIMUM; 6-4-3-0
1C--1D--2S--,3C,Fit relay; 3+!S
1C--1D--2S--3C--,3D,1-suit/2-suit. 6+!S
1C--1D--2S--3C--3D--,3H,Game try in !H
1C--1D--2S--3C--3D--3H--,3N,MAXIMUM; No help
1C--1D--2S--3C--3D--3H--,3S,minimum; No help
1C--1D--2S--3C--3D--3H--,4C,Void
1C--1D--2S--3C--3D--3H--,4D,MAXIMUM; 6!S + 4!D
1C--1D--2S--3C--3D--3H--,4H,MAXIMUM; 6!S + 4!H
1C--1D--2S--3C--3D--,3N,Signoff
1C--1D--2S--3C--3D--,4C,CUE
1C--1D--2S--3C--3D--,4D,CUE
1C--1D--2S--3C--3D--,4H,CUE
1C--1D--2S--3C--3D--,4S,Signoff
1C--1D--2S--3C--,3H,min; 5!S + 4!H
1C--1D--2S--3C--,3N,min; 5-4-4-0
1C--1D--2S--3C--,3S,MAX; 5!S + 4!H
1C--1D--2S--3C--,4C,MAX; 5!S + 4!H
1C--1D--2S--3C--,4D,MAX; 5!S + 4!D
1C--1D--2S--3C--,4H,MAX; 5-4-4-0
1C--1D--2S--,3N,Signoff
1C--1D--2S--,4H,Signoff
1C--1D--2S--,4S,Signoff
1C--1D--2S--,5D,Signoff
1C--,1H,0-16HcP; 4+!H
1C--1H--,1N,0-1!H; 0-3!S
1C--1H--,1S,4+!S; may have longer minor
1C--1H--,2C,5+!C; 2-3!H
1C--1H--,2D,5+!D; 2-3!H
1C--1H--,2H,8-10HcP; 4+!H
1C--1H--,2N,0-1!S; 4!H; GF
1C--1H--,2S,10-12HcP; 6!S; 2-3!H
1C--1H--,3C,0-1!C; 4!H; GF
1C--1H--,3D,0-1!D; 4!H; GF
1C--1H--,3H,Preempt; Good !H
1C--,1N,Please read chat#0-13HcP; ANY. ASK minorfit or 6+card MAJOR
1C--,1S,0-16HcP; 4+!S
1C--1S--,1N,0-1!S; else ANY
1C--1S--,2C,5+!C; 2-3!S
1C--1S--,2D,5+!D; 2-3!S
1C--1S--,2H,5+!H; 2-3!S
1C--1S--,2N,0-1!H; 4!S; GF
1C--1S--,2S,8-10HcP; 4+!S
1C--1S--,3C,0-1!C; 4!S; GF
1C--1S--,3D,0-1!D; 4!S; GF
1C--1S--,3S,Preempt; Good !S
1C--,2C,8-14HcP; 6+!C; NF
1C--,2D,8-14HcP; 6+!D; NF
1C--,2H,8-14HcP; 6+!H; NF
1C--,2S,8-14HcP; 6+!S; NF
1C--,3C,6+!C; NF. Strong suit or hand
1C--,3D,6+!D; NF. Strong suit or hand
1C--,3H,6+!H; NF. Strong suit or hand
1C--,3S,6+!S; NF. Strong suit or hand
,1D,0-7HcP; ANY
1DDb,1H,Natural or bluff
1DDb,1S,Natural or bluff
1DDb,2C,Natural or bluff
1DDb,2D,Natural or bluff
1DDb,--,3+!D
1DDb,Rd,SOS; takeout
1D--,1H,13-20HcP; (3)4+!H; NF
1D--1H--,1N,0-1!H
1D--1H--,1S,4+!S
1D--1H--,2C,5-7HcP; 2!H  + 5+!C
1D--1H--,2D,5-7HcP; 2!H  + 5+!D
1D--1H--,2H,5-7HcP; 4!H
1D--1H--,2N,5-7HcP; 0-1!S
1D--1H--,2S,5-7HcP; 2!H  + 5+!S
1D--1H--,3C,5-7HcP; 0-1!C
1D--1H--,3D,5-7HcP; 0-1!D
1D--1H--,3H,5-7HcP; 5+!H
1D--1H--,4H,5-7HcP; 6+!H
1D--1H--,--,3!H; NF
1D--,1N,21+HcP; ANY. Strong hand
1D--1N--,2C,0-4HcP; ANY
1D--1N--2C--,2D,GF; ANY
1D--1N--2C--,2H,5+!H; NF
1D--1N--2C--,2N,Balanced
1D--1N--2C--,2S,5+!S; NF
1D--1N--2C--,3C,6+!C; NF
1D--1N--2C--,3D,6+!D; NF
1D--1N--,2D,5-7HcP; Trans -> !H
1D--1N--2D--,2H,Relay; NF
1D--1N--2D--,3H,!H SLAB 0-7
1D--1N--2D--,4H,Signoff
1D--1N--,2H,5-7HcP; Trans -> !S
1D--1N--2H--,2S,Relay; NF
1D--1N--2H--,3S,!S SLAB 0-7
1D--1N--2H--,4S,Signoff
1D--1N--,2N,5-7HcP; balanced
1D--1N--,2S,5-7HcP; A minor
1D--1N--,3C,5-7HcP; 6+!C
1D--1N--3C--,3D,!C SLAB 0-7
1D--1N--3C--,3N,Signoff
1D--1N--3C--,5C,Signoff
1D--1N--,3D,5-7HcP; 6+!D
1D--1N--3D--,3H,!D SLAB 0-7
1D--1N--3D--,3N,Signoff
1D--1N--3D--,5D,Signoff
1D--1N--,3H,5-7HcP; 6+!H
1D--1N--3H--,3N,Signoff
1D--1N--3H--,3S,!H SLAB 0-7
1D--1N--3H--,4H,Signoff
1D--1N--,3S,5-7HcP; 6+!S
1D--1N--3S--,3N,Signoff
1D--1N--3S--,4C,!S SLAB 0-7
1D--1N--3S--,4S,Signoff
1D--,1S,13-20HcP; (3)4+!S; NF
1D--1S--,1N,0-1!S
1D--1S--,1S,4+!S
1D--1S--,2C,5-7HcP; 2!S  + 5+!C
1D--1S--,2D,5-7HcP; 2!S  + 5+!D
1D--1S--,2H,5-7HcP; 5+!H
1D--1S--,2N,5-7HcP; 0-1!H
1D--1S--,2S,5-7HcP; 4!S
1D--1S--,3C,5-7HcP; 0-1!C
1D--1S--,3D,5-7HcP; 0-1!D
1D--1S--,3S,5-7HcP; 5+!S
1D--1S--,4S,5-7HcP; 6+!S
1D--1S--,--,3!S; NF
1D--,2C,5+!C; NF
1D--,2D,5+!D; NF
1D--,2H,5+!H; NF
1D--,2N,2-suiter. 5 MAJOR + 5 minor
1D--,2S,5+!S; NF
1D--,3C,6-7!C; NF
1D--,3D,6-7!D; NF
1D--,3H,6-7!H; NF
1D--,3N,Natural; balanced
1D--,3S,6-7!S; NF
1D--,--,Weak; 5+!D. To play
1H1N,2C,5+!C
1H1N,2D,5+!D
1H1N,2H,Preempt
1H1N,2N,GF; ANY
1H1N2N--,3C,minimum; 5!C
1H1N2N--,3D,minimum; 5!D
1H1N2N--,3H,minimum; 4!H; 2-3!S
1H1N2N--,3N,MAXIMUM; 3!H + 2!S
1H1N2N--,3S,minimum; 4!H + 4!S
1H1N2N--,4C,MAXIMUM; 3!H + 3!S
1H1N2N--,4D,MAXIMUM; 4!H + 2-3!S
1H1N2N--,4H,MAXIMUM; 4!H + 4!S
1H1N,2S,5+!S
1H1N,3H,Preempt
1H1N,4H,Signoff
1H1N,Db,12+HcP; Penalty
1H1N,--,Weak or trap
1H1S,1N,Limit
1H1S,2C,5+!C
1H1S,2D,5+!D
1H1S,2H,Preempt
1H1S,2S,GF; ANY
1H1S,3C,5+!C; GF
1H1S,3D,5+!D; GF
1H1S,3H,Preempt
1H1S,4H,Signoff
1H1S,Db,13+HcP; ANY
1H1S,--,Weak or trap
1H2C,2D,5+!D
1H2C,2H,Preempt
1H2C,2N,Limit
1H2C,2S,5+!S
1H2C,3C,GF; ANY
1H2C,3D,5+!D; GF
1H2C,3H,Preempt
1H2C,3N,Signoff
1H2C,3S,5+!S; GF
1H2C,4H,Signoff
1H2C,Db,13+HcP; ANY
1H2C,--,Weak or trap
1H2D,2H,Preempt
1H2D,2N,Limit
1H2D,2S,5+!S
1H2D,3C,5+!C
1H2D,3D,GF; ANY
1H2D,3H,Preempt
1H2D,3N,Signoff
1H2D,3S,5+!S; GF
1H2D,4C,5+!C; GF
1H2D,4H,Signoff
1H2D,Db,13+HcP; ANY
1H2D,--,Weak or trap
1H2H,2N,Limit
1H2H,2S,5+!S
1H2H,3C,5+!C
1H2H,3D,5+!D
1H2H,3H,Preempt
1H2H,3N,Signoff
1H2H,3S,5+!S; GF
1H2H,4C,5+!C; GF
1H2H,4H,Signoff
1H2H,Db,13+HcP; ANY
1H2H,--,Weak or trap
1H2S,2N,Limit
1H2S,3C,5+!C
1H2S,3D,5+!D
1H2S,3H,Preempt
1H2S,3N,Signoff
1H2S,3S,5+!S
1H2S,4C,5+!C; GF
1H2S,4D,5+!D; GF
1H2S,4H,Signoff
1H2S,Db,13+HcP; ANY
1H2S,--,Weak or trap
1H3C,3D,5+!D
1H3C,3H,Preempt
1H3C,3N,Signoff
1H3C,3S,5+!S
1H3C,4C,GF; ANY
1H3C,4D,5+!D; GF
1H3C,4H,Signoff
1H3C,Db,13+HcP; ANY
1H3C,--,Weak or trap
1H3D,3H,Preempt
1H3D,3N,Signoff
1H3D,3S,5+!S
1H3D,4C,5+!C
1H3D,4D,GF; ANY
1H3D,4H,Signoff
1H3D,Db,13+HcP; ANY
1H3D,--,Weak or trap
,1H,8-12HcP; (3)4!H; 2-3!S. !H>
1HDb,1N,8-13HcP; bal. 0-3!H
1HDb,1S,13+HcP; ANY
1HDb1S--,1N,8-1HcP; 3!H or 3-4-3-3
1HDb1S--1N--,2C,ASK distrib
1HDb1S--1N--2C--,2D,A 5card minor
1HDb1S--1N--2C--2D--,2H,ASK 5card minor suit
1HDb1S--1N--2C--2D--2H--,2N,5!D
1HDb1S--1N--2C--2D--2H--2N--,3C,ASK distrib
1HDb1S--1N--2C--2D--2H--2N--3C--,3D,3-3-5-2
1HDb1S--1N--2C--2D--2H--2N--3C--,3H,2-3-5-3
1HDb1S--1N--2C--2D--2H--2N--,3D,Signoff
1HDb1S--1N--2C--2D--2H--2N--,3H,Signoff
1HDb1S--1N--2C--2D--2H--2N--,3N,Signoff
1HDb1S--1N--2C--2D--2H--2N--,--,To play
1HDb1S--1N--2C--2D--2H--,2S,5!C
1HDb1S--1N--2C--2D--2H--2S--,2N,Signoff
1HDb1S--1N--2C--2D--2H--2S--,3C,Signoff
1HDb1S--1N--2C--2D--2H--2S--,3D,ASK distrib
1HDb1S--1N--2C--2D--2H--2S--3D--,3H,3-3-2-5
1HDb1S--1N--2C--2D--2H--2S--3D--,3S,2-3-3-5
1HDb1S--1N--2C--2D--2H--2S--,3N,Signoff
1HDb1S--1N--2C--,2H,3!H; 3-3-3-4 or 3-3-4-3
1HDb1S--1N--2C--2H--,2S,ASK 4card minor suit
